route,page_title,h1,h2,h3,hero_copy,body_copy,cards,widgets,tables,charts,forms,services,CTA_text,CTA_destinations,navigation_items,sidebar_items,footer_items
/citizen-consultations,Connect Abia: Your Voice in Governance,Connect Abia: Your Voice in Governance,Navigation; Live Consultations; Submit Feedback; Transparency &amp; Impact; Public Surveys,Urban Infrastructure Renewal Plan 2024; Education Digitalization Survey; Green Spaces &amp; Park Development; Rural Healthcare Access Audit,"Direct participation in the legislative and executive processes. Join live town halls, respond to surveys, and shape the future of our state infrastructure and policies.","State Operating System Direct participation in the legislative and executive processes. Join live town halls, respond to surveys, and shape the future of our state infrastructure and policies. Join real-time discussions with government representatives.",Citizen Portal; Launch Service; 5 mins to complete; 8 mins to complete,Data Registry Table,YES,NO,YES,,Citizen Portal; Launch Service; Join Active Consultation arrow_forward; View Policy Archive; JOIN SESSION play_circle; SET REMINDER notifications; SUBMIT TO GOVERNANCE HUB; TAKE SURVEY; TAKE SURVEY; Governance; Economy; Digital Gov; Security; payments Economic Transformation; account_balance Digital Government; gavel Transparent Governance,; ; ; ; ; ; ; ; ; /local-governance; /economic-transformation; /serve-abia; /secure-abia; /economic-transformation; /serve-abia; /local-governance,Citizen Portal; Governance; Economy; Digital Gov; Security,payments Economic Transformation; account_balance Digital Government; gavel Transparent Governance,
/citizen-identity-civil-registry,ABIA ONE,ABIA ONE,Citizen Identity &amp; Civil Registry; ABIA ONE,badge Digital Residency Card; Service Gateway; Vital Statistics Records,Full Legal Name,"Modern Governance OS Manage your sovereign digital residency, vital records, and state verification services. Full Legal Name",Citizen Feedback; Citizen Portal,Data Registry Table,YES,NO,NO,,Citizen Feedback; emergency_home Emergency; Citizen Portal; download Download e-ID; Renew Residency; Re-Verify Identity; View All Records; add_circle Register Birth; history_edu File Death Report; payments Economic Transformation; account_balance Digital Government; mitre Transparent Governance; security Public Trust; Economy; Digital Gov; Governance; Security; Invest Abia; Serve Abia; Build Abia; Open Abia; home Home; badge Identity,; ; ; ; ; ; ; ; ; /economic-transformation; /serve-abia; /local-governance; /secure-abia; /economic-transformation; /serve-abia; /local-governance; /secure-abia; /invest-in-aba; /serve-abia; /build-abia; /open-abia; /; /citizen-identity-civil-registry,Citizen Portal; Economy; Digital Gov; Governance; Security,payments Economic Transformation; account_balance Digital Government; mitre Transparent Governance; security Public Trust; Invest Abia; Serve Abia; Build Abia; Open Abia; home Home; badge Identity,
/citizen-identity-mobile,Abia One,Abia One,Digital State ID,Live Scan; Level 3 Auth; Civil Registry Services,Sovereign Identity,Sovereign Identity Abia State Government Digital Certificate of Residence,SECURITY SETTINGS,,YES,NO,NO,,RE-VERIFY; dashboard Dashboard,; /home-mobile,,dashboard Dashboard,
/civil-service-mobile,ABIA ONE,ABIA ONE,"Welcome back, Commissioner",94.2%; 12; 88%,Administrator Dashboard,Administrator Dashboard Statewide Productivity Leave Requests,,,YES,NO,NO,Department Portal Interface,notifications; campaign COMPOSE BROADCAST; View All chevron_right; close; check; close; check; dashboard Dashboard,; ; ; ; ; ; ; /home-mobile,,dashboard Dashboard,
/civil-service-portal,ABIA ONE,ABIA ONE,"Welcome back, Dr. Okafor",Dr. Chidi Okafor; account_balance_wallet Payroll History; event_available Leave Balance; Master Data Governance with AI; Performance Matrix,Employee ID: AB-9920-CS,Civil Service Portal Senior Administrator • Ministry of Digital Economy &amp; Transformation Employee ID: AB-9920-CS,Update Bio-Data; View History; Continue Learning,Analytics Telemetry Graph; Data Registry Table,YES,YES,NO,Department Portal Interface,notifications; Update Bio-Data; View All Payslips arrow_forward; download; download; add Apply for Leave; View History; Continue Learning; Open Bulletin Board; dashboard Dashboard; school AI Academy; Press Office,; ; ; ; ; ; ; ; ; /; /ai-academy; /news-press-center,,dashboard Dashboard; school AI Academy; Press Office,
/civil-service-portal-2,ABIA ONE,ABIA ONE,Internal Portal; ABIA ONE,Internal Memo: Performance-Based Promotion Cycles; AI Literacy Program; analytics Performance Tracking,"Welcome to the Abia State Civil Service OS. Manage your career, track performance, and access internal communications from one secure location.",Modern Governance OS Chidi Okoro Senior Admin Officer,,,YES,NO,NO,Department Portal Interface,Citizen Feedback; Emergency; Read Full Dispatch arrow_forward; download Export Service Record; Continue Learning; Detailed Appraisal History open_in_new; home Home; dashboard Portal; history_edu Records; person Profile; payments Economic Transformation; account_balance Digital Government; mitre Transparent Governance; security Public Trust; Governance; Digital Gov; Economy; Security; Invest Abia; Serve Abia; Build Abia; Open Abia,; ; ; ; ; ; ; ; ; ; /economic-transformation; /serve-abia; /local-governance; /secure-abia; /local-governance; /serve-abia; /economic-transformation; /secure-abia; /invest-in-aba; /serve-abia; /build-abia; /open-abia,Governance; Digital Gov; Economy; Security,payments Economic Transformation; account_balance Digital Government; mitre Transparent Governance; security Public Trust; Invest Abia; Serve Abia; Build Abia; Open Abia,
/commerce-trade,The Digital Pulse of Aba Trade,The Digital Pulse of Aba Trade,Trade Portal; Enyimba Economic City Hub; ABIA ONE,Ariaria Digital Marketplace; Wholesale Licensing; Global Export Logistics,"Revolutionizing the Ariaria ecosystem with sovereign digital infrastructure, real-time export tracking, and seamless wholesaler licensing.","Aba Industrial Hub Revolutionizing the Ariaria ecosystem with sovereign digital infrastructure, real-time export tracking, and seamless wholesaler licensing. Onboarding 50,000+ local artisans to the global stage.",Citizen Portal; Emergency,Analytics Telemetry Graph; Data Registry Table,YES,NO,NO,,Citizen Portal; Emergency; feedback Citizen Feedback; Enter Market arrow_forward; Apply for New License; Active Shipments; Completed; Investment Guide; Virtual Tour; shopping_cart; Economy; Digital Gov; Governance; Security; Invest Abia; Serve Abia; Build Abia; Open Abia,; ; ; ; ; ; ; ; ; ; /economic-transformation; /serve-abia; /local-governance; /secure-abia; /invest-in-aba; /serve-abia; /build-abia; /open-abia,Citizen Portal; Economy; Digital Gov; Governance; Security,Invest Abia; Serve Abia; Build Abia; Open Abia,
/commerce-trade-2,Empowering the Japan of Africa,Empowering the Japan of Africa,Command Center; Trade Statistics; Commercial Hubs; Export &amp; SME Support; Aba-Made Global,Aba Markets; Export Growth 2024,"From the artisan workshops of Aba to the global trade routes, Abia One provides the infrastructure for your business to scale across borders.","State Operating System From the artisan workshops of Aba to the global trade routes, Abia One provides the infrastructure for your business to scale across borders. Daily economic volume processed through Ariaria and Ahia Ohuru.",Sign In; Export Report; Explore Opportunities; Apply for Grant; {/* Simulating a chart with Tailwind *,Analytics Telemetry Graph,YES,NO,NO,,Sign In; Export Report; Explore Opportunities trending_up; Apply for Grant; filter_list Filter Hubs; map View Grid; Read Whitepaper; Invest; Jobs; Serve; Governance; dashboard Dashboard; Press Office,; ; ; ; ; ; ; /invest-in-aba; /jobs-abia; /serve-abia; /local-governance; /; /news-press-center,Governance,Invest; Jobs; Serve; dashboard Dashboard; Press Office,
/connect-abia,"Your Voice, Our Progress","Your Voice, Our Progress",State Transformation Updates; Digital Town Halls; Citizen Feedback,"Abia AI Academy Launches Pilot Program in Umuahia; Transparency Portal: Q3 Expenditure Report Published; State Polls; Stay Connected, Everywhere.","Connect Abia is the digital bridge between the government and its citizens. Participate in shaping the future of our state through direct feedback, town halls, and real-time updates.","Connect Abia is the digital bridge between the government and its citizens. Participate in shaping the future of our state through direct feedback, town halls, and real-time updates. Road Construction Update: Umueze Road Equipping 5,000 youths with cutting-edge artificial intelligence skills to drive the state's digital economy.",,,YES,NO,YES,Department Portal Interface,Citizen Portal; Share Feedback send; View Updates; View Newsroom arrow_forward; Set Reminder notifications; Register edit_square; Register edit_square; Public Transportation Vote; Land Tiling &amp; Registry Vote; Waste Management Vote; Submit Message; apps Download on the App Store; play_arrow Get it on Google Play; Join; Serve Abia; Jobs Abia; AI Academy; Connect Abia; Institutional News,; ; ; ; ; ; ; ; ; ; ; ; ; ; /serve-abia; /jobs-abia; /ai-academy; /connect-abia; /news-press-center,Citizen Portal,Serve Abia; Jobs Abia; AI Academy; Connect Abia; Institutional News,
/connect-abia-mobile,Abia One,Abia One,Connect Abia; Town Hall Schedule; Voice Your Opinion; State News,Infrastructure Update: Umuahia 2025; New Clean Energy Initiative Launched for Industrial Clusters; Governor Inspects Ongoing Digital Skills Training at Innovation Hub,Town Hall,Town Hall Discussing the 2025 Farmer Support Program with the Commissioner. Live walkthrough of the application process for trade grants.,Join Stream,,NO,NO,NO,,emergency_share; Join Stream; See All arrow_forward; Expand Aba-Port Harcourt Link check_circle; New Umuahia City Shuttles check_circle; thumb_up 842; chat_bubble 124; share; add; dashboard Dashboard,; ; ; ; ; ; ; ; ; /home-mobile,,dashboard Dashboard,
/cooperatives-micro-credit,Cooperative &amp; Micro-Credit Portal,Cooperative &amp; Micro-Credit Portal,how_to_reg Cooperative Registration Portal,Live Loan Metrics; Loan Application &amp; Tracking; Literacy Hub,"Empowering Abia's local trade networks through digitized registration, transparent lending, and institutional support.","ABIA ONE Governance OS Empowering Abia's local trade networks through digitized registration, transparent lending, and institutional support.",Citizen Portal; Emergency; Begin Registration Process; Schedule,Analytics Telemetry Graph; Data Registry Table,YES,NO,YES,,Citizen Portal; Emergency; chat_bubble Citizen Feedback; Begin Registration Process arrow_forward; send Submit Application; Schedule; Economy; Digital Gov; Governance; Security; payments Economic Transformation; account_balance Digital Government; security Public Trust; Invest Abia; Serve Abia; Build Abia; Open Abia,; ; ; ; ; ; /economic-transformation; /serve-abia; /local-governance; /secure-abia; /economic-transformation; /serve-abia; /secure-abia; /invest-in-aba; /serve-abia; /build-abia; /open-abia,Citizen Portal; Economy; Digital Gov; Governance; Security,payments Economic Transformation; account_balance Digital Government; security Public Trust; Invest Abia; Serve Abia; Build Abia; Open Abia,
/cooperatives-micro-credit-2,ABIA ONE,ABIA ONE,Micro-Credit Dashboard,Total Loan Disbursement; Aba Leather Hub Empowerment; Cooperative Registry &amp; Performance; Application Portal; Real-time Feed,Empowering Aba's MSMEs,"Command Center Empowering Aba's MSMEs 1,248",Apply for Credit,Data Registry Table,YES,NO,YES,,"language; notifications; Apply for Credit; filter_list Filter LGAs; View All 1,248 Registered Cooperatives; app_registration Register Cooperative Formalize your union chevron_right; account_balance Apply for Micro-Loan Capital for MSMEs chevron_right; add Apply Now; dashboard Dashboard; security Security; Invest; Jobs; Serve; Press Office",; ; ; ; ; ; ; ; /; /secure-abia; /invest-in-aba; /jobs-abia; /serve-abia; /news-press-center,,dashboard Dashboard; security Security; Invest; Jobs; Serve; Press Office,
/cooperatives-micro-credit-mobile,ABIA ONE,ABIA ONE,"Good Morning, Chidi","₦450,000.00",Umuahia Micro-Entrepreneurs Coop,Umuahia Micro-Entrepreneurs Coop Active Loan Balance New Loan,Pay Now,,NO,NO,NO,,search; Pay Now; View All; add; dashboard Dashboard,; ; ; ; /home-mobile,,dashboard Dashboard,
/diaspora-gateway,ABIA ONE,ABIA ONE,Build the Future of Home.; ABIA ONE,Strategic PPP Projects; Success Stories of Returnees; Diaspora Business Concierge,"Secure your legacy through State of Origin Bonds. Invest in infrastructure, healthcare, and digital transformation projects with sovereign state backing.","DDI Portal Diaspora Direct Investment Secure your legacy through State of Origin Bonds. Invest in infrastructure, healthcare, and digital transformation projects with sovereign state backing.",Emergency; Citizen Portal; View Bond Prospectus; HEALTHCARE,,YES,NO,NO,Department Portal Interface,Emergency; Citizen Portal; chat Citizen Feedback; trending_up Invest Now; View Bond Prospectus; Details; Read Full Case Study; Read Full Case Study; Read Full Case Study; support_agent Request Concierge Consult; home HOME; account_balance_wallet INVEST; person PROFILE; Economy; Digital Gov; Governance; Security; dashboard Overview; security Security Trust; Invest chevron_right; Invest chevron_right; Invest Abia; Serve Abia; Build Abia; Open Abia,; ; ; ; ; ; ; ; ; ; ; ; ; /economic-transformation; /serve-abia; /local-governance; /secure-abia; /; /secure-abia; /invest-in-aba; /invest-in-aba; /invest-in-aba; /serve-abia; /build-abia; /open-abia,Citizen Portal; Economy; Digital Gov; Governance; Security,dashboard Overview; security Security Trust; Invest chevron_right; Invest chevron_right; Invest Abia; Serve Abia; Build Abia; Open Abia,
/digital-archives-heritage,Digital Archives &amp; State Heritage,Digital Archives &amp; State Heritage,ABIA ONE; Heritage Repository; Document of the Month,Abia Virtual Museum; Historical Records; Voice of Elders; State Heroes Hall of Fame,"Preserving the legacy of the 'God's Own State'. Explore centuries of documented history, artifacts, and the pioneering spirits of Abia.","Modern Governance OS Preserving the legacy of the 'God's Own State'. Explore centuries of documented history, artifacts, and the pioneering spirits of Abia. DIGITIZED DOCUMENTS",Emergency; Citizen Portal; Citizen Feedback; Start Exploring; Submit Archive,,YES,NO,NO,,Emergency; Citizen Portal; Citizen Feedback; Start Exploring; Submit Archive; BROWSE ARCHIVE; LISTEN NOW; visibility VIEW FULL DOCUMENT; download DOWNLOAD PDF (2.4MB); Economy; Digital Gov; Governance; Security; payments Economic Transformation; account_balance Digital Government; mitre Transparent Governance; security Public Trust; Invest Abia; Serve Abia; Build Abia; Open Abia,; ; ; ; ; ; ; ; ; /economic-transformation; /serve-abia; /local-governance; /secure-abia; /economic-transformation; /serve-abia; /local-governance; /secure-abia; /invest-in-aba; /serve-abia; /build-abia; /open-abia,Citizen Portal; Economy; Digital Gov; Governance; Security,payments Economic Transformation; account_balance Digital Government; mitre Transparent Governance; security Public Trust; Invest Abia; Serve Abia; Build Abia; Open Abia,
/digital-archives-heritage-2,Digital Archives &amp; Historical Records,Digital Archives &amp; Historical Records,Archives Ecosystem; Searchable Media Vault; Genealogical Registry; Virtual Museum Exhibits,The Ohafia Declarations; Boundary Treaties (1891); Government Gazettes Vol. 1-12; Royal Lineages Database; Trace Your Heritage,The definitive repository of Abia’s journey. From the ancient lineages of our traditional rulers to the structural colonial blueprints that shaped our statehood.,"The definitive repository of Abia’s journey. From the ancient lineages of our traditional rulers to the structural colonial blueprints that shaped our statehood. High-fidelity digitization of maps, photography, and scrolls. Original administrative scrolls detailing the local governance frameworks during the pre-independence era.",Emergency; Citizen Portal,,YES,NO,YES,,Emergency; Citizen Portal; history_edu Citizen Feedback; Begin Deep Dive; Access Vault; download; open_in_new; visibility; Submit Records; View All Galleries arrow_forward; Economy; Digital Gov; Governance; Security; security Public Trust; Invest Abia; Serve Abia; Build Abia; Open Abia,; ; ; ; ; ; ; ; ; ; /economic-transformation; /serve-abia; /local-governance; /secure-abia; /secure-abia; /invest-in-aba; /serve-abia; /build-abia; /open-abia,Citizen Portal; Economy; Digital Gov; Governance; Security,security Public Trust; Invest Abia; Serve Abia; Build Abia; Open Abia,
/digital-archives-heritage-mobile,ABIA ONE,ABIA ONE,State Heritage; Spotlight Exhibit; Hall of Fame,Voice of Elders; Documents; Hall of Fame; The Akwete Weavers: A Legacy in Every Thread,Preserving the legacy of God's Own State for generations.,"Preserving the legacy of God's Own State for generations. Oral histories and traditional folklore from our community sages. 4,200+ digitized colonial and post-independence records.",record_voice_over; View Gallery,,YES,NO,YES,,notifications; Listen Now arrow_forward; View Gallery; play_circle Narrative; play_arrow; dashboard Dashboard,; ; ; ; ; /home-mobile,,dashboard Dashboard,
/economic-transformation,Economic Transformation,Economic Transformation,Industrial Hubs; Invest Abia; Jobs Abia; AI Academy; A Data-Driven Renaissance,Navigation,"Powering the next industrial revolution in West Africa through infrastructure, investment, and human capital.","State Operating System Powering the next industrial revolution in West Africa through infrastructure, investment, and human capital. Foundational infrastructure for the Manufacturing Renaissance.",Citizen Portal; Launch Service; Explore Opportunities; View Data Portal; Learn More,,YES,NO,NO,,Citizen Portal; Launch Service; Explore Opportunities; View Data Portal; Learn More arrow_forward; Post a Role add_circle; Apply for Cohort 4; Economy; Digital Gov; Governance; Security; payments Economic Transformation; account_balance Digital Government; gavel Transparent Governance,; ; ; ; ; ; ; /economic-transformation; /serve-abia; /local-governance; /secure-abia; /economic-transformation; /serve-abia; /local-governance,Citizen Portal; Economy; Digital Gov; Governance; Security,payments Economic Transformation; account_balance Digital Government; gavel Transparent Governance,
/economic-transformation-2,Economic Transformation,Economic Transformation,Industrial Transformation; Invest Abia; Jobs Abia; AI Academy; Economic Trajectory,Ariaria Industrial City; Enyimba Economic City; Umuahia Agribusiness Hub,ABIA STATE OPERATING SYSTEM,"Core Layers ABIA STATE OPERATING SYSTEM Powering the next industrial revolution in West Africa through integrated clusters, digital education, and artisan modernization. Abia is open for business.",Citizen Portal; Citizen Feedback; Explore Opportunities; Download Report; Apply for Cohort 4,Analytics Telemetry Graph,YES,YES,NO,,Citizen Portal; emergency; Citizen Feedback; Explore Opportunities; Download Report; Learn More; View All Listings open_in_new; Apply for Cohort 4; Economy; Digital Gov; Governance; Security; Invest Abia; Serve Abia; Build Abia; Open Abia,; ; ; ; ; ; ; ; /economic-transformation; /serve-abia; /local-governance; /secure-abia; /invest-in-aba; /serve-abia; /build-abia; /open-abia,Citizen Portal; Economy; Digital Gov; Governance; Security,Invest Abia; Serve Abia; Build Abia; Open Abia,
/education-learning,"One Student, One Tablet Initiative","One Student, One Tablet Initiative",School Accreditation Status; Digital Skills Training Hubs,Scholarship Application Tracker; Teacher Certification Portal; Initiative Progress,"Revolutionizing Abia's learning landscape with 250,000+ digital learning devices distributed across secondary institutions. Bridging the digital divide for the future workforce.","ABIA ONE Modern Governance OS Revolutionizing Abia's learning landscape with 250,000+ digital learning devices distributed across secondary institutions. Bridging the digital divide for the future workforce.",Emergency; Citizen Portal; Register Device; Download Curricula; List View,Data Registry Table,YES,NO,NO,,Emergency; Citizen Portal; feedback Citizen Feedback; Register Device; Download Curricula; refresh; View; View; Review; View Application Details; List View; map Map View; badge Login to Portal; Verify Certificate; Economy; Digital Gov; Governance; Security; Invest Abia; Serve Abia; Build Abia; Open Abia,; ; ; ; ; ; ; ; ; ; ; ; ; ; /economic-transformation; /serve-abia; /local-governance; /secure-abia; /invest-in-aba; /serve-abia; /build-abia; /open-abia,Citizen Portal; Economy; Digital Gov; Governance; Security,Invest Abia; Serve Abia; Build Abia; Open Abia,
/education-learning-2,Empowering the Next Generation of Abia’s Digital Leaders,Empowering the Next Generation of Abia’s Digital Leaders,Strategic Focus Areas; Live Progress Tracker,Pioneering Machine Learning for Youth; Infrastructure Upgrades; Digital Literacy; Vocational Skills &amp; Trade,"Building a resilient education ecosystem through technology, world-class infrastructure, and advanced AI integration.","Building a resilient education ecosystem through technology, world-class infrastructure, and advanced AI integration. Our flagship integration preparing 50,000 students annually for the global AI economy. Courses include Python, Neural Networks, and Ethical AI governance. Modernizing 450 secondary schools with smart labs, solar power, and high-speed fiber connectivity.",Sign In; Explore Programs; Apply for AI Academy; Citizen Support,Data Registry Table,YES,NO,YES,,Sign In; download Export Report; Explore Programs; Apply for AI Academy; View Detailed Analytics trending_up; send; support_agent Citizen Support; Invest; Jobs; Serve; Governance; dashboard Dashboard; school Education; Apply for Jobs; Press Office,; ; ; ; ; ; ; /invest-in-aba; /jobs-abia; /serve-abia; /local-governance; /; /education-learning; /jobs-abia; /news-press-center,Governance,Invest; Jobs; Serve; dashboard Dashboard; school Education; Apply for Jobs; Press Office,
