page,sidebar_name,sidebar_item,destination
/border-trade-logistics-2,Dashboard Navigation Panel,AI Academy,/ai-academy
/border-trade-logistics-2,Dashboard Navigation Panel,Connect Abia,/connect-abia
/border-trade-logistics-2,Dashboard Navigation Panel,Institutional News,/institutional-news
/border-trade-logistics-2,Dashboard Navigation Panel,Investment Gateway,/investment-gateway
/border-trade-logistics-2,Dashboard Navigation Panel,Trade Inquiries,/trade-inquiries
/build-abia,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/build-abia,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/build-abia,Dashboard Navigation Panel,gavel Transparent Governance,/gavel-transparent-governance
/build-abia-mobile,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/citizen-consultations,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/citizen-consultations,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/citizen-consultations,Dashboard Navigation Panel,gavel Transparent Governance,/gavel-transparent-governance
/citizen-identity-civil-registry,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/citizen-identity-civil-registry,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/citizen-identity-civil-registry,Dashboard Navigation Panel,mitre Transparent Governance,/mitre-transparent-governance
/citizen-identity-civil-registry,Dashboard Navigation Panel,security Public Trust,/security-public-trust
/citizen-identity-civil-registry,Dashboard Navigation Panel,Invest Abia,/invest-abia
/citizen-identity-civil-registry,Dashboard Navigation Panel,Serve Abia,/serve-abia
/citizen-identity-civil-registry,Dashboard Navigation Panel,Build Abia,/build-abia
/citizen-identity-civil-registry,Dashboard Navigation Panel,Open Abia,/open-abia
/citizen-identity-civil-registry,Dashboard Navigation Panel,home Home,/home-home
/citizen-identity-civil-registry,Dashboard Navigation Panel,badge Identity,/badge-identity
/citizen-identity-mobile,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/civil-service-mobile,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/civil-service-portal,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/civil-service-portal,Dashboard Navigation Panel,school AI Academy,/school-ai-academy
/civil-service-portal,Dashboard Navigation Panel,Press Office,/press-office
/civil-service-portal-2,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/civil-service-portal-2,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/civil-service-portal-2,Dashboard Navigation Panel,mitre Transparent Governance,/mitre-transparent-governance
/civil-service-portal-2,Dashboard Navigation Panel,security Public Trust,/security-public-trust
/civil-service-portal-2,Dashboard Navigation Panel,Invest Abia,/invest-abia
/civil-service-portal-2,Dashboard Navigation Panel,Serve Abia,/serve-abia
/civil-service-portal-2,Dashboard Navigation Panel,Build Abia,/build-abia
/civil-service-portal-2,Dashboard Navigation Panel,Open Abia,/open-abia
/commerce-trade,Dashboard Navigation Panel,Invest Abia,/invest-abia
/commerce-trade,Dashboard Navigation Panel,Serve Abia,/serve-abia
/commerce-trade,Dashboard Navigation Panel,Build Abia,/build-abia
/commerce-trade,Dashboard Navigation Panel,Open Abia,/open-abia
/commerce-trade-2,Dashboard Navigation Panel,Invest,/invest
/commerce-trade-2,Dashboard Navigation Panel,Jobs,/jobs
/commerce-trade-2,Dashboard Navigation Panel,Serve,/serve
/commerce-trade-2,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/commerce-trade-2,Dashboard Navigation Panel,Press Office,/press-office
/connect-abia,Dashboard Navigation Panel,Serve Abia,/serve-abia
/connect-abia,Dashboard Navigation Panel,Jobs Abia,/jobs-abia
/connect-abia,Dashboard Navigation Panel,AI Academy,/ai-academy
/connect-abia,Dashboard Navigation Panel,Connect Abia,/connect-abia
/connect-abia,Dashboard Navigation Panel,Institutional News,/institutional-news
/connect-abia-mobile,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/cooperatives-micro-credit,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/cooperatives-micro-credit,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/cooperatives-micro-credit,Dashboard Navigation Panel,security Public Trust,/security-public-trust
/cooperatives-micro-credit,Dashboard Navigation Panel,Invest Abia,/invest-abia
/cooperatives-micro-credit,Dashboard Navigation Panel,Serve Abia,/serve-abia
/cooperatives-micro-credit,Dashboard Navigation Panel,Build Abia,/build-abia
/cooperatives-micro-credit,Dashboard Navigation Panel,Open Abia,/open-abia
/cooperatives-micro-credit-2,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/cooperatives-micro-credit-2,Dashboard Navigation Panel,security Security,/security-security
/cooperatives-micro-credit-2,Dashboard Navigation Panel,Invest,/invest
/cooperatives-micro-credit-2,Dashboard Navigation Panel,Jobs,/jobs
/cooperatives-micro-credit-2,Dashboard Navigation Panel,Serve,/serve
/cooperatives-micro-credit-2,Dashboard Navigation Panel,Press Office,/press-office
/cooperatives-micro-credit-mobile,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/diaspora-gateway,Dashboard Navigation Panel,dashboard Overview,/dashboard-overview
/diaspora-gateway,Dashboard Navigation Panel,security Security Trust,/security-security-trust
/diaspora-gateway,Dashboard Navigation Panel,Invest chevron_right,/invest-chevron_right
/diaspora-gateway,Dashboard Navigation Panel,Invest chevron_right,/invest-chevron_right
/diaspora-gateway,Dashboard Navigation Panel,Invest Abia,/invest-abia
/diaspora-gateway,Dashboard Navigation Panel,Serve Abia,/serve-abia
/diaspora-gateway,Dashboard Navigation Panel,Build Abia,/build-abia
/diaspora-gateway,Dashboard Navigation Panel,Open Abia,/open-abia
/digital-archives-heritage,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/digital-archives-heritage,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/digital-archives-heritage,Dashboard Navigation Panel,mitre Transparent Governance,/mitre-transparent-governance
/digital-archives-heritage,Dashboard Navigation Panel,security Public Trust,/security-public-trust
/digital-archives-heritage,Dashboard Navigation Panel,Invest Abia,/invest-abia
/digital-archives-heritage,Dashboard Navigation Panel,Serve Abia,/serve-abia
/digital-archives-heritage,Dashboard Navigation Panel,Build Abia,/build-abia
/digital-archives-heritage,Dashboard Navigation Panel,Open Abia,/open-abia
/digital-archives-heritage-2,Dashboard Navigation Panel,security Public Trust,/security-public-trust
/digital-archives-heritage-2,Dashboard Navigation Panel,Invest Abia,/invest-abia
/digital-archives-heritage-2,Dashboard Navigation Panel,Serve Abia,/serve-abia
/digital-archives-heritage-2,Dashboard Navigation Panel,Build Abia,/build-abia
/digital-archives-heritage-2,Dashboard Navigation Panel,Open Abia,/open-abia
/digital-archives-heritage-mobile,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/economic-transformation,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/economic-transformation,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/economic-transformation,Dashboard Navigation Panel,gavel Transparent Governance,/gavel-transparent-governance
/economic-transformation-2,Dashboard Navigation Panel,Invest Abia,/invest-abia
/economic-transformation-2,Dashboard Navigation Panel,Serve Abia,/serve-abia
/economic-transformation-2,Dashboard Navigation Panel,Build Abia,/build-abia
/economic-transformation-2,Dashboard Navigation Panel,Open Abia,/open-abia
/education-learning,Dashboard Navigation Panel,Invest Abia,/invest-abia
/education-learning,Dashboard Navigation Panel,Serve Abia,/serve-abia
/education-learning,Dashboard Navigation Panel,Build Abia,/build-abia
/education-learning,Dashboard Navigation Panel,Open Abia,/open-abia
/education-learning-2,Dashboard Navigation Panel,Invest,/invest
/education-learning-2,Dashboard Navigation Panel,Jobs,/jobs
/education-learning-2,Dashboard Navigation Panel,Serve,/serve
/education-learning-2,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/education-learning-2,Dashboard Navigation Panel,school Education,/school-education
/education-learning-2,Dashboard Navigation Panel,Apply for Jobs,/apply-for-jobs
/education-learning-2,Dashboard Navigation Panel,Press Office,/press-office
/emergency-crisis-response,Dashboard Navigation Panel,dashboard Live Dispatch,/dashboard-live-dispatch
/emergency-crisis-response,Dashboard Navigation Panel,Invest Abia,/invest-abia
/emergency-crisis-response,Dashboard Navigation Panel,Serve Abia,/serve-abia
/emergency-crisis-response,Dashboard Navigation Panel,Build Abia,/build-abia
/emergency-crisis-response,Dashboard Navigation Panel,Open Abia,/open-abia
/emergency-response,Dashboard Navigation Panel,dashboard Command Center,/dashboard-command-center
/emergency-response,Dashboard Navigation Panel,campaign Communications,/campaign-communications
/emergency-response,Dashboard Navigation Panel,agriculture Agriculture,/agriculture-agriculture
/emergency-response,Dashboard Navigation Panel,medical_services Health,/medical_services-health
/emergency-response,Dashboard Navigation Panel,location_city GADA,/location_city-gada
/emergency-response,Dashboard Navigation Panel,Security Audit,/security-audit
/employer-portal,Dashboard Navigation Panel,Jobs,/jobs
/employer-portal,Dashboard Navigation Panel,dashboard Economic Transformation,/dashboard-economic-transformation
/employer-portal,Dashboard Navigation Panel,handshake SME Support,/handshake-sme-support
/environment-sustainability,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/environment-sustainability,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/environment-sustainability,Dashboard Navigation Panel,mitre Transparent Governance,/mitre-transparent-governance
/environment-sustainability,Dashboard Navigation Panel,security Public Trust,/security-public-trust
/environment-sustainability,Dashboard Navigation Panel,Request Now open_in_new,/request-now-open_in_new
/environment-sustainability,Dashboard Navigation Panel,Submit Report open_in_new,/submit-report-open_in_new
/environment-sustainability,Dashboard Navigation Panel,Learn More open_in_new,/learn-more-open_in_new
/environment-sustainability,Dashboard Navigation Panel,Invest Abia,/invest-abia
/environment-sustainability,Dashboard Navigation Panel,Serve Abia,/serve-abia
/environment-sustainability,Dashboard Navigation Panel,Build Abia,/build-abia
/environment-sustainability,Dashboard Navigation Panel,Open Abia,/open-abia
/environment-sustainability-2,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/environment-sustainability-2,Dashboard Navigation Panel,security Security,/security-security
/environment-sustainability-2,Dashboard Navigation Panel,Invest,/invest
/environment-sustainability-2,Dashboard Navigation Panel,Jobs,/jobs
/environment-sustainability-2,Dashboard Navigation Panel,Serve,/serve
/environment-sustainability-2,Dashboard Navigation Panel,Invest Abia,/invest-abia
/environment-sustainability-2,Dashboard Navigation Panel,Jobs Portal,/jobs-portal
/environment-sustainability-2,Dashboard Navigation Panel,Budget Portal,/budget-portal
/environment-sustainability-2,Dashboard Navigation Panel,Press Office,/press-office
/environment-sustainability-2,Dashboard Navigation Panel,dashboard Home,/dashboard-home
/gada,Dashboard Navigation Panel,Invest Abia,/invest-abia
/gada,Dashboard Navigation Panel,Serve Abia,/serve-abia
/gada,Dashboard Navigation Panel,Build Abia,/build-abia
/gada,Dashboard Navigation Panel,Open Abia,/open-abia
/governors-command-center,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/governors-command-center,Dashboard Navigation Panel,security Security,/security-security
/governors-command-center,Dashboard Navigation Panel,Invest,/invest
/governors-command-center,Dashboard Navigation Panel,Jobs,/jobs
/governors-command-center,Dashboard Navigation Panel,Serve,/serve
/governors-command-center,Dashboard Navigation Panel,Press Office,/press-office
/governors-command-center-mobile,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/greater-aba-development-authority,Dashboard Navigation Panel,dashboard Command Center,/dashboard-command-center
/greater-aba-development-authority,Dashboard Navigation Panel,campaign Communications,/campaign-communications
/greater-aba-development-authority,Dashboard Navigation Panel,agriculture Agriculture,/agriculture-agriculture
/greater-aba-development-authority,Dashboard Navigation Panel,medical_services Health,/medical_services-health
/greater-aba-development-authority,Dashboard Navigation Panel,location_city GADA,/location_city-gada
/greater-aba-development-authority,Dashboard Navigation Panel,Security Audit,/security-audit
/health-wellness,Dashboard Navigation Panel,health_and_safety Health Metrics,/health_and_safety-health-metrics
/health-wellness,Dashboard Navigation Panel,Invest Abia,/invest-abia
/health-wellness,Dashboard Navigation Panel,Serve Abia,/serve-abia
/health-wellness,Dashboard Navigation Panel,Build Abia,/build-abia
/health-wellness,Dashboard Navigation Panel,Open Abia,/open-abia
/health-wellness,Dashboard Navigation Panel,Emergency Lines,/emergency-lines
/health-wellness-2,Dashboard Navigation Panel,Invest,/invest
/health-wellness-2,Dashboard Navigation Panel,Jobs,/jobs
/health-wellness-2,Dashboard Navigation Panel,Serve,/serve
/health-wellness-2,Dashboard Navigation Panel,View Dashboard,/view-dashboard
/health-wellness-2,Dashboard Navigation Panel,Wellness Portal,/wellness-portal
/health-wellness-2,Dashboard Navigation Panel,Medical Careers,/medical-careers
/health-wellness-2,Dashboard Navigation Panel,Press Office,/press-office
/home-variant,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/home-variant,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/home-variant,Dashboard Navigation Panel,mitre Transparent Governance,/mitre-transparent-governance
/home-variant,Dashboard Navigation Panel,security Public Trust,/security-public-trust
/home-variant,Dashboard Navigation Panel,Invest Abia,/invest-abia
/home-variant,Dashboard Navigation Panel,Serve Abia,/serve-abia
/home-variant,Dashboard Navigation Panel,Build Abia,/build-abia
/home-variant,Dashboard Navigation Panel,Open Abia,/open-abia
/housing-urban-development,Dashboard Navigation Panel,dashboard Overview,/dashboard-overview
/housing-urban-development,Dashboard Navigation Panel,home_work Housing Registry,/home_work-housing-registry
/housing-urban-development,Dashboard Navigation Panel,Invest Abia,/invest-abia
/housing-urban-development,Dashboard Navigation Panel,Serve Abia,/serve-abia
/housing-urban-development,Dashboard Navigation Panel,Build Abia,/build-abia
/housing-urban-development,Dashboard Navigation Panel,Open Abia,/open-abia
/housing-urban-development-2,Dashboard Navigation Panel,Invest,/invest
/housing-urban-development-2,Dashboard Navigation Panel,Jobs,/jobs
/housing-urban-development-2,Dashboard Navigation Panel,Serve,/serve
/housing-urban-development-2,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/housing-urban-development-2,Dashboard Navigation Panel,Press Office,/press-office
/industrial-hubs,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/industrial-hubs,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/industrial-hubs,Dashboard Navigation Panel,gavel Transparent Governance,/gavel-transparent-governance
/invest-abia,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/invest-abia,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/invest-abia,Dashboard Navigation Panel,gavel Transparent Governance,/gavel-transparent-governance
/invest-abia,Dashboard Navigation Panel,Abia Investment House,/abia-investment-house
/invest-abia,Dashboard Navigation Panel,Annual Budget Reports,/annual-budget-reports
/invest-abia,Dashboard Navigation Panel,Investor Relations,/investor-relations
/jobs-abia,Dashboard Navigation Panel,Serve Abia,/serve-abia
/jobs-abia,Dashboard Navigation Panel,Jobs Abia,/jobs-abia
/jobs-abia,Dashboard Navigation Panel,AI Academy,/ai-academy
/jobs-abia,Dashboard Navigation Panel,Connect Abia,/connect-abia
/jobs-abia,Dashboard Navigation Panel,Institutional News,/institutional-news
/jobs-abia,Dashboard Navigation Panel,Jobs Abia,/jobs-abia
/jobs-abia-mobile,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/land-property,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/land-property,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/land-property,Dashboard Navigation Panel,gavel Transparent Governance,/gavel-transparent-governance
/legal-institutional-registry,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/legal-institutional-registry,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/legal-institutional-registry,Dashboard Navigation Panel,gavel Transparent Governance,/gavel-transparent-governance
/legal-institutional-registry-2,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/legal-institutional-registry-2,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/legal-institutional-registry-2,Dashboard Navigation Panel,mitre Transparent Governance,/mitre-transparent-governance
/legal-institutional-registry-2,Dashboard Navigation Panel,security Public Trust,/security-public-trust
/legal-institutional-registry-2,Dashboard Navigation Panel,Invest Abia,/invest-abia
/legal-institutional-registry-2,Dashboard Navigation Panel,Serve Abia,/serve-abia
/legal-institutional-registry-2,Dashboard Navigation Panel,Build Abia,/build-abia
/legal-institutional-registry-2,Dashboard Navigation Panel,Open Abia,/open-abia
/legal-institutional-registry-mobile,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/live-incident-feed,Dashboard Navigation Panel,dashboard Command Center,/dashboard-command-center
/live-incident-feed,Dashboard Navigation Panel,campaign Communications,/campaign-communications
/live-incident-feed,Dashboard Navigation Panel,agriculture Agriculture,/agriculture-agriculture
/live-incident-feed,Dashboard Navigation Panel,medical_services Health,/medical_services-health
/live-incident-feed,Dashboard Navigation Panel,location_city GADA,/location_city-gada
/live-incident-feed,Dashboard Navigation Panel,Security Audit Passed,/security-audit-passed
/local-governance,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/local-governance,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/local-governance,Dashboard Navigation Panel,mitre Transparent Governance,/mitre-transparent-governance
/local-governance,Dashboard Navigation Panel,security Public Trust,/security-public-trust
/local-governance,Dashboard Navigation Panel,Invest Abia,/invest-abia
/local-governance,Dashboard Navigation Panel,Serve Abia,/serve-abia
/local-governance,Dashboard Navigation Panel,Build Abia,/build-abia
/local-governance,Dashboard Navigation Panel,Open Abia,/open-abia
/mda-performance,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/mda-performance,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/mda-performance,Dashboard Navigation Panel,mitre Transparent Governance,/mitre-transparent-governance
/mda-performance,Dashboard Navigation Panel,security Public Trust,/security-public-trust
/mda-performance,Dashboard Navigation Panel,Invest Abia,/invest-abia
/mda-performance,Dashboard Navigation Panel,Serve Abia,/serve-abia
/mda-performance,Dashboard Navigation Panel,Build Abia,/build-abia
/mda-performance,Dashboard Navigation Panel,Open Abia,/open-abia
/ministry-of-agriculture,Dashboard Navigation Panel,Read Story open_in_new,/read-story-open_in_new
/ministry-of-agriculture,Dashboard Navigation Panel,Read Story open_in_new,/read-story-open_in_new
/ministry-of-agriculture,Dashboard Navigation Panel,Read Story open_in_new,/read-story-open_in_new
/ministry-of-agriculture,Dashboard Navigation Panel,Invest Abia,/invest-abia
/ministry-of-agriculture,Dashboard Navigation Panel,Serve Abia,/serve-abia
/ministry-of-agriculture,Dashboard Navigation Panel,Build Abia,/build-abia
/ministry-of-agriculture,Dashboard Navigation Panel,Open Abia,/open-abia
/ministry-of-agriculture-2,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/ministry-of-agriculture-2,Dashboard Navigation Panel,Invest,/invest
/ministry-of-agriculture-2,Dashboard Navigation Panel,Jobs,/jobs
/ministry-of-agriculture-2,Dashboard Navigation Panel,Serve,/serve
/ministry-of-agriculture-2,Dashboard Navigation Panel,Open Data,/open-data
/ministry-of-agriculture-2,Dashboard Navigation Panel,Budget Report,/budget-report
/ministry-of-agriculture-2,Dashboard Navigation Panel,Investment Guide,/investment-guide
/ministry-of-agriculture-2,Dashboard Navigation Panel,Press Office,/press-office
/ministry-of-agriculture-3,Dashboard Navigation Panel,dashboard Command Center,/dashboard-command-center
/ministry-of-agriculture-3,Dashboard Navigation Panel,campaign Communications,/campaign-communications
/ministry-of-agriculture-3,Dashboard Navigation Panel,agriculture Agriculture,/agriculture-agriculture
/ministry-of-agriculture-3,Dashboard Navigation Panel,medical_services Health,/medical_services-health
/ministry-of-agriculture-3,Dashboard Navigation Panel,location_city GADA,/location_city-gada
/ministry-of-agriculture-3,Dashboard Navigation Panel,Security Audit,/security-audit
/ministry-of-agriculture-mobile,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/ministry-of-agriculture-mobile-2,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/ministry-of-communication,Dashboard Navigation Panel,dashboard Command Center,/dashboard-command-center
/ministry-of-communication,Dashboard Navigation Panel,campaign Communications,/campaign-communications
/ministry-of-communication,Dashboard Navigation Panel,agriculture Agriculture,/agriculture-agriculture
/ministry-of-communication,Dashboard Navigation Panel,medical_services Health,/medical_services-health
/ministry-of-communication,Dashboard Navigation Panel,location_city GADA,/location_city-gada
/ministry-of-communication,Dashboard Navigation Panel,Security Audit,/security-audit
/ministry-of-communication-2,Dashboard Navigation Panel,Invest Abia,/invest-abia
/ministry-of-communication-2,Dashboard Navigation Panel,Serve Abia,/serve-abia
/ministry-of-communication-2,Dashboard Navigation Panel,Build Abia,/build-abia
/ministry-of-communication-2,Dashboard Navigation Panel,Open Abia,/open-abia
/ministry-of-health,Dashboard Navigation Panel,dashboard Health Index,/dashboard-health-index
/ministry-of-health,Dashboard Navigation Panel,Security Audit,/security-audit
/ministry-of-health-2,Dashboard Navigation Panel,Invest Abia,/invest-abia
/ministry-of-health-2,Dashboard Navigation Panel,Serve Abia,/serve-abia
/ministry-of-health-2,Dashboard Navigation Panel,Build Abia,/build-abia
/ministry-of-health-2,Dashboard Navigation Panel,Open Abia,/open-abia
/ministry-of-health-2,Dashboard Navigation Panel,Health Stats,/health-stats
/ministry-of-health-2,Dashboard Navigation Panel,Public Health News,/public-health-news
/ministry-of-health-mobile-2,Dashboard Navigation Panel,Health Services,/health-services
/ministry-of-health-mobile-2,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/news-press-center,Dashboard Navigation Panel,newspaper Abia Today,/newspaper-abia-today
/news-press-center,Dashboard Navigation Panel,Invest Abia,/invest-abia
/news-press-center,Dashboard Navigation Panel,Serve Abia,/serve-abia
/news-press-center,Dashboard Navigation Panel,Build Abia,/build-abia
/news-press-center,Dashboard Navigation Panel,Open Abia,/open-abia
/open-abia,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/open-abia,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/open-abia,Dashboard Navigation Panel,gavel Transparent Governance,/gavel-transparent-governance
/open-abia-2,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/open-abia-2,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/open-abia-2,Dashboard Navigation Panel,gavel Transparent Governance,/gavel-transparent-governance
/open-abia-mobile,Dashboard Navigation Panel,Dashboard,/dashboard
/open-abia-mobile,Dashboard Navigation Panel,MDA Budgets,/mda-budgets
/open-abia-mobile,Dashboard Navigation Panel,Procurement,/procurement
/open-abia-mobile,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/procurement-tenders-registry,Dashboard Navigation Panel,payments Procurement Dashboard,/payments-procurement-dashboard
/procurement-tenders-registry,Dashboard Navigation Panel,account_balance Active Tenders,/account_balance-active-tenders
/procurement-tenders-registry,Dashboard Navigation Panel,security Audit Trails,/security-audit-trails
/procurement-tenders-registry,Dashboard Navigation Panel,Invest Abia,/invest-abia
/procurement-tenders-registry,Dashboard Navigation Panel,Serve Abia,/serve-abia
/procurement-tenders-registry,Dashboard Navigation Panel,Build Abia,/build-abia
/procurement-tenders-registry,Dashboard Navigation Panel,Open Abia,/open-abia
/public-reporting,Dashboard Navigation Panel,Digital Gov Docs,/digital-gov-docs
/science-technology,Dashboard Navigation Panel,mitre Science &amp; Tech Hub,/mitre-science-&amp;-tech-hub
/science-technology,Dashboard Navigation Panel,security Tech Parks,/security-tech-parks
/science-technology,Dashboard Navigation Panel,Invest Abia,/invest-abia
/science-technology,Dashboard Navigation Panel,Serve Abia,/serve-abia
/science-technology,Dashboard Navigation Panel,Build Abia,/build-abia
/science-technology,Dashboard Navigation Panel,Open Data Portal,/open-data-portal
/science-technology-2,Dashboard Navigation Panel,Invest,/invest
/science-technology-2,Dashboard Navigation Panel,Jobs,/jobs
/science-technology-2,Dashboard Navigation Panel,Serve,/serve
/science-technology-2,Dashboard Navigation Panel,dashboard Dashboard,/dashboard-dashboard
/science-technology-2,Dashboard Navigation Panel,security Security,/security-security
/science-technology-2,Dashboard Navigation Panel,Invest,/invest
/science-technology-2,Dashboard Navigation Panel,Jobs,/jobs
/science-technology-2,Dashboard Navigation Panel,Press Office,/press-office
/secure-abia-2,Dashboard Navigation Panel,dashboard Command Center,/dashboard-command-center
/secure-abia-2,Dashboard Navigation Panel,campaign Communications,/campaign-communications
/secure-abia-2,Dashboard Navigation Panel,agriculture Agriculture,/agriculture-agriculture
/secure-abia-2,Dashboard Navigation Panel,medical_services Health,/medical_services-health
/secure-abia-2,Dashboard Navigation Panel,location_city GADA,/location_city-gada
/secure-abia-2,Dashboard Navigation Panel,Incident Logs,/incident-logs
/secure-abia-2,Dashboard Navigation Panel,Security Audit,/security-audit
/secure-abia-3,Dashboard Navigation Panel,Invest,/invest
/secure-abia-3,Dashboard Navigation Panel,Jobs,/jobs
/secure-abia-3,Dashboard Navigation Panel,Serve,/serve
/secure-abia-3,Dashboard Navigation Panel,Open Map arrow_forward,/open-map-arrow_forward
/secure-abia-3,Dashboard Navigation Panel,Press Office,/press-office
